lat,lon,name,loc,image,is_selected
13.0834955,77.6394568,,,we.png,FALSE
12.9557047,77.5608025,,,we.png,FALSE
13.038328,77.562614,,,we.png,FALSE
12.875385,77.8121151,,,we.png,FALSE
13.782839,77.792872,,,we.png,FALSE
12.8146875,77.6501875,,,we.png,FALSE
12.8892255,77.7907485,,,we.png,FALSE
12.893118,77.687866,,,we.png,FALSE
12.8400114,77.8063851,,,we.png,FALSE
12.914542,77.6454533,,,we.png,FALSE
12.919199,77.666544,,,we.png,FALSE
10.8424746,76.5477281,,,we.png,FALSE
13.0634744,77.6237617,,,we.png,FALSE
12.9093009,77.6464066,,,we.png,FALSE
12.9366826,77.5466524,,,we.png,FALSE
13.1379367,77.5855347,,,we.png,FALSE
12.9057137,77.5724724,,,we.png,FALSE
12.824852,77.6910817,,,we.png,FALSE
12.8339264,77.743279,,,we.png,FALSE
12.8274114,77.6236606,,,we.png,FALSE
12.8949853,77.7044285,,,we.png,FALSE
12.803814,77.620582,,,we.png,FALSE
13.3978125,78.0551094,,,we.png,FALSE
12.900608,79.12928,,,we.png,FALSE
12.7943173,75.8970381,,,we.png,FALSE
12.7076595,77.8080806,,,we.png,FALSE
13.070384,77.5970515,,,we.png,FALSE
13.0278211,77.6671257,,,we.png,FALSE
13.191936,77.554199,,,we.png,FALSE
12.920512,77.586448,,,we.png,FALSE
13.0259016,77.5171095,,,we.png,FALSE
12.8610564,77.6020816,,,we.png,FALSE
12.8429815,77.8133197,,,we.png,FALSE
